LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARN124SM2003       8018138137910Pressacavo SPYRA M20 NERO                  00025000250002599999940000000013500000000135000001EURPCE0320130301                  81                
ARN124SM2503       8018138137927Pressacavo SPYRA M25 NERO                  00010000100001099999940000000024500000000245000001EURPCE0320130301                  81                
ARN124SP0703       8018138137835Pressacavo SPYRA Pg 7 NERO                 00100001000010099999940000000007900000000079000001EURPCE0320130301                  81                
ARN124SP0903       8018138137842Pressacavo SPYRA Pg 9 NERO                 00050000500005099999940000000009500000000095000001EURPCE0320130301                  81                
ARN124SP1103       8018138137859Pressacavo SPYRA Pg 11 NERO                00025000250002599999940000000011600000000116000001EURPCE0320130301                  81                
ARN124SP1303       8018138137866Pressacavo SPYRA Pg 13,5 NERO              00025000250002599999940000000013100000000131000001EURPCE0320130301                  81                
ARN124SP1603       8018138137873Pressacavo SPYRA Pg 16 NERO                00020000200002099999940000000018300000000183000001EURPCE0320130301                  81                
ARN124SP2103       8018138137880Pressacavo SPYRA Pg 21 NERO                00010000100001099999940000000024800000000248000001EURPCE0320130301                  81                
ARN129200A3        8018138189667Colonna MOBILE duo H200 BIANCA             00001000010000199999940000006500000000065000000001EURPCE0320130301                  19                
ARN129200AA        8018138189674Colonna MOBILE duo H200 ALLUMINIO          00001000010000199999940000006500000000065000000001EURPCE0320130301                  19                
ARN129200VN        8018138189681Colonna MOBILE duo H200 NERA               00001000010000199999940000006500000000065000000001EURPCE0320130301                  19                
ARN12932A3         8018138188240Minicolonna duo H30 BIANCA                 00001000010000199999940000001090000000010900000001EURPCE0320130301                  19                
ARN12932AA         8018138171082Minicolonna duo H30 ALLUMINIO              00001000010000199999940000001250000000012500000001EURPCE0320130301                  19                
ARN12932NA         8018138188257Minicolonna duo H30 NERA ALLUMINIO         00001000010000199999940000001190000000011900000001EURPCE0320130301                  19                
ARN12932V3         8018138188264Minicolonna duo H30 ALLU BIANCO            00001000010000199999940000001090000000010900000001EURPCE0320130301                  19                
ARN12932VA         8018138145816Minicolonna duo H30 ALLU NERO              00001000010000199999940000001090000000010900000001EURPCE0320130301                  19                
ARN12932VN         8018138145823Minicolonna duo H30 NERO                   00001000010000199999940000001090000000010900000001EURPCE0320130301                  19                
ARN129336A3        8018138188271Colonna duo H270-330 BIANCA                00001000010000199999940000005600000000056000000001EURPCE0320130301                  19                
ARN129336AA        8018138171044Colonna duo H270-330 ALLUMINIO             00001000010000199999940000006230000000062300000001EURPCE0320130301                  19                
ARN129336NA        8018138188288Colonna duo H270-330 NERA ALLUMINIO        00001000010000199999940000005900000000059000000001EURPCE0320130301                  19                
ARN129336V3        8018138188295Colonna duo H270-330 ALLU BIANCO           00001000010000199999940000005600000000056000000001EURPCE0320130301                  19                
ARN129336VA        8018138132328Colonna duo H270-330 ALLU NERO             00001000010000199999940000005600000000056000000001EURPCE0320130301                  19                
ARN129336VN        8018138132335Colonna duo H270-330 NERA                  00001000010000199999940000005600000000056000000001EURPCE0320130301                  19                
ARN129388A3        8018138188301Colonna duo H270-380 BIANCA                00001000010000199999940000006150000000061500000001EURPCE0320130301                  19                
ARN129388AA        8018138171051Colonna duo H270-380 ALLUMINIO             00001000010000199999940000006950000000069500000001EURPCE0320130301                  19                
ARN129388NA        8018138188318Colonna duo H270-380 NERA ALLUMINIO        00001000010000199999940000006600000000066000000001EURPCE0320130301                  19                
ARN129388V3        8018138188325Colonna duo H270-380 ALLU BIANCO           00001000010000199999940000006150000000061500000001EURPCE0320130301                  19                
ARN129388VA        8018138132366Colonna duo H270-380 ALLU NERO             00001000010000199999940000006150000000061500000001EURPCE0320130301                  19                
ARN129388VN        8018138132373Colonna duo H270-380 NERA                  00001000010000199999940000006150000000061500000001EURPCE0320130301                  19                
ARN12954A3         8018138188332Minicolonna duo H50 BIANCA                 00001000010000199999940000001750000000017500000001EURPCE0320130301                  19                
ARN12954AA         8018138171075Minicolonna duo H50 ALLUMINIO              00001000010000199999940000001920000000019200000001EURPCE0320130301                  19                
ARN12954NA         8018138188349Minicolonna duo H50 NERA ALLUMINIO         00001000010000199999940000001830000000018300000001EURPCE0320130301                  19                
ARN12954V3         8018138188356Minicolonna duo H50 ALLU BIANCO            00001000010000199999940000001750000000017500000001EURPCE0320130301                  19                
ARN12954VA         8018138132380Minicolonna duo H50 ALLU NERO              00001000010000199999940000001750000000017500000001EURPCE0320130301                  19                
ARN12954VN         8018138132397Minicolonna duo H50 NERO                   00001000010000199999940000001750000000017500000001EURPCE0320130301                  19                
ARN12976A3         8018138188219Minicolonna duo H70 BIANCA                 00001000010000199999940000001960000000019600000001EURPCE0320130301                  19                
ARN12976AA         8018138171068Minicolonna duo H70 ALLUMINIO              00001000010000199999940000002190000000021900000001EURPCE0320130301                  19                
ARN12976NA         8018138188226Minicolonna duo H70 NERA ALLUMINIO         00001000010000199999940000001890000000018900000001EURPCE0320130301                  19                
ARN12976V3         8018138188233Minicolonna duo H70 ALLU BIANCO            00001000010000199999940000001960000000019600000001EURPCE0320130301                  19                
ARN12976VA         8018138132403Minicolonna duo H70 ALLU NERO              00001000010000199999940000001960000000019600000001EURPCE0320130301                  19                
ARN12976VN         8018138132410Minicolonna duo H70 NERO                   00001000010000199999940000001960000000019600000001EURPCE0320130301                  19                
ARN1370B           8018138172560Supporto per barre d16 mm ZAMA             00010000100001099999940000000050000000000500000001EURPCE0320130301                  71                
ARN1370SB          8018138123111Supporto per bandella M6 in Ac-GC          00020000200002099999940000000026800000000268000001EURPCE0320130301                  71                
ARN1370ST          8018138127621Supporto universale M6 in Ac-GC            00020000200002099999940000000026800000000268000001EURPCE0320130301                  71                
ARN1376.10         8018138152142Morsetto giunzione lineare OTTONE          00010000100001099999940000000071000000000710000001EURPCE0320130301                  71                
ARN1410            8018138127638Scaricatore sovratensione analogico        00008000010000199999940000000750000000007500000001EURPCE0120130701                  78                
ARN1410D           8018138151947Scaricatore sovratensione analogico        00008000010000199999940000000690000000006900000001EURPCE0320130301                  78                
ARN1410RJ          8018138191424Scaricatore sovratensione analogico        00008000010000199999940000000730000000007300000001EURPCE0120130701                  78                
ARN1413BNC         8018138151992Scaricatore x videosistemi                 000010000100001999999B0000000990000000009900000001EURPCE0620130301                  78                
ARN1416SAT         8018138152012Scaricatore x impianti SAT                 00008000010000199999940000000900000000009000000001EURPCE0320130301                  78                
ARN1416TV          8018138152005Scaricatore x impianti TV                  00008000010000199999940000000900000000009000000001EURPCE0320130301                  78                
ARN1416TV-SAT      8018138189520Scaricatore x impianti SAT                 00008000010000199999940000000990000000009900000001EURPCE0320130301                  78                
ARN1440            8018138191479Cartuccia di ricambio per 1440             00008000010000199999940000000690000000006900000001EURPCE0120130701                  78                
ARN1440.1          8018138178586Scaricatore fulmine T1 1polo               00008000010000199999940000000890000000008900000001EURPCE0320130301                  78                
ARN1440.100TT      8018138151572Scaricatore fulmine T1 1poloxNPE           00008000010000199999940000003100000000031000000001EURPCE0320130301                  78                
ARN1440.1-50       8018138151558Scaricatore fulmine T1 1polo               00008000010000199999940000001990000000019900000001EURPCE0320130301                  78                
ARN1440.1-60F      8018138151565Scaricatore fulmine T1 1polo+TLS           000080000100001999999B0000002600000000026000000001EURPCE0620130301                  78                
ARN1440.1F         8018138178593Scaricatore fulmine T1 1polo+TLS           00008000010000199999940000000990000000009900000001EURPCE0320130301                  78                
ARN1440.2TT        8018138190823Scaricatore T1 1+1 poli                    00008000080000899999940000001840000000018400000001EURPCE0320130301                  78                
ARN1440.2TTF       8018138190830Scaricatore T1 1+1 poli con TLS            00008000080000899999940000001890000000018900000001EURPCE0320130301                  78                
ARN1440.4          8018138151404Scaricatore sovratensione T1 4poli         00004000010000199999940000003200000000032000000001EURPCE0320130301                  78                
ARN1440.4-50       8018138178609Scaricatore sovratensione T1 4poli         000010000100001999999B0000008800000000088000000001EURPCE0620130301                  78                
ARN1440.4-50TT     8018138190861Scaricatore T1 3+1 poli con TLS            00001000010000199999940000009500000000095000000001EURPCE0320130301                  78                
ARN1440.4F         8018138190847Scaricatore T1 4 poli con TLS              00004000040000499999940000003250000000032500000001EURPCE0320130301                  78                
ARN1440.4TT        8018138151657Scaricatore sovratensione T1 3+1p          00004000010000199999940000003850000000038500000001EURPCE0320130301                  78                
ARN1440.4TTF       8018138190854Scaricatore T1 3+1 poli con TLS            00004000040000499999940000003870000000038700000001EURPCE0320130301                  78                
ARN159SM           8018138119534Supporto di fissaggio a guida DIN          00020000200002099999940000000005200000000052000001EURPCE0320130301                  91                
ARN1603-13         4011126017090Guarnizione anelli asportab. Pg13,5        001000010000100999999B0000000003900000000039000001EURPCE0620130301                  81                
ARN1783            4011126037609Fissatubo d 5-16mm GRIGIO CHIARO           01000010000100099999940000000005500000000055000001EURPCE0320130301                  83                
ARN1784            4011126037593Fissatubo d 14-24mm GRIGIO CHIARO          005000050000500999999B0000000009000000000090000001EURPCE0620130301                  83                
ARN1893/1309       4011126024371Riduzione PG13,5-PG9 GRIGIA                000500005000050999999B0000000008000000000080000001EURPCE0620130301                  81                
ARN1893/1609       4011126024395Riduzione PG16 - PG9 GRIGIA                000500005000050999999B0000000009000000000090000001EURPCE0620130301                  81                
ARN1893/1611       4011126024357Riduzione PG16 - PG11 GRIGIA               000500005000050999999B0000000010000000000100000001EURPCE0620130301                  81                
ARN1893/2113       4011126024029Riduzione PG21-PG13,5 GRIGIA               000500005000050999999B0000000020000000000200000001EURPCE0620130301                  81                
ARN1893/2116       4011126024333Riduzione PG21 - PG16 GRIGIA               000500005000050999999B0000000025000000000250000001EURPCE0620130301                  81                
ARN19TA            8018138112603Tacchetto x incasso parete/soffitto        00100001000010099999940000000008600000000086000001EURPCE0320130301                  83                
ARN2040            8018138112757Fungo captazione superf. carrabili         00002000020000299999940000000290000000002900000001EURPCE0320130301                  71                
ARN213             8018138112801Morsetto x 2 tondini Ac-GC                 00010000100001099999940000000020600000000206000001EURPCE0320130301                  73                
ARN213.2           8018138112818Morsetto x tondino/bandella Ac-GC          00010000100001099999940000000020600000000206000001EURPCE0320130301                  73                
ARN22              8018138123616Morsetto di sezionamento OTTONE            00006000060000699999940000000124000000001240000001EURPCE0320130301                  72                
ARN22CP            8018138130898Morsetto di sezionamento OTTONE            00006000060000699999940000000145000000001450000001EURPCE0320130301                  72                
ARN22CPGDO         8018138188127Morsetto di sezionamento OTTONE            00012000120001299999940000000150000000001500000001EURPCE0320130301                  72                
ARN2403.20         8018138119695Morsetto per dispersori d20 in ZAMA        00040000400004099999940000000020600000000206000001EURPCE0320130301                  73                
ARN2404.20         8018138127652Morsetto per d18-20 RAME NICHELATO         00005000050000599999940000000134900000001349000001EURPCE0320130301                  73                
ARN2405            8018138132441Morsetto per d18-20 RAME NICHELATO         00005000050000599999940000000133900000001339000001EURPCE0320130301                  73                
ARN2440            8018138191394Cartuccia di ricambio per 2440             00004000010000199999940000001800000000018000000001EURPCE0120130701                  78                
ARN2440.1000       8018138191349Cartuccia di ricambio per 2440.1002        00008000010000199999940000001200000000012000000001EURPCE0120130701                  78                
ARN2440.1002       8018138178616SPD combinato x fotovoltaico 1000V         00001000010000199999940000004500000000045000000001EURPCE0320130301                  78                
ARN2440.1F         8018138191370Scaricatore T1+T2 1 polo con TLS           00001000010000199999940000001990000000019900000001EURPCE0120130701                  78                
ARN2440.2TF        8018138151503Scaricatore combinato T1+T2 1+1p+TLS       00001000010000199999940000004500000000045000000001EURPCE0320130701                  78                
ARN2440.4F         8018138191387Scaricatore T1+T2 4 poli con TLS           00001000010000199999940000008800000000088000000001EURPCE0120130701                  78                
ARN2440.4TF        8018138151480Scaricatore combinato T1+T2 3+1p+TLS       00001000010000199999940000009500000000095000000001EURPCE0320130701                  78                
ARN250P07          8018138138955Pressacavo conico Pg 7 GRIGIO              00150001500015099999940000000003200000000032000001EURPCE0320130301                  81                
ARN250P09          8018138138962Pressacavo conico Pg 9 GRIGIO              00500005000050099999940000000003300000000033000001EURPCE0320130301                  81                
ARN250P11          8018138138979Pressacavo conico Pg11 GRIGIO              00400004000040099999940000000003400000000034000001EURPCE0320130301                  81                
ARN250P13          8018138138986Pressacavo conico Pg13,5 GRIGIO            00300003000030099999940000000003500000000035000001EURPCE0320130301                  81                
ARN250P16          8018138138993Pressacavo conico Pg 16 GRIGIO             00200002000020099999940000000004300000000043000001EURPCE0320130301                  81                
ARN250P21          8018138139006Pressacavo conico Pg 21 GRIGIO             00150001500015099999940000000006400000000064000001EURPCE0320130301                  81                
ARN250P29          8018138139013Pressacavo conico Pg 29 GRIGIO             00080000800008099999940000000010900000000109000001EURPCE0320130301                  81                
ARN250P36          8018138139020Pressacavo conico Pg 36 GRIGIO             00030000300003099999940000000020900000000209000001EURPCE0320130301                  81                
ARN2532M63A        8018138137644Pressacavo IP68 M63 OTTONE-NICHEL          000050000500005999999B0000000380000000003800000001EURPCE0620130301                  81                
ARN27.8            8018138128499Morsetto x tondino / bandella Ac-GC        00015000150001599999940000000039500000000395000001EURPCE0320130301                  71                
ARN27.816          8018138140644Mors.collegamento d.16/10-8 Ac-GC          00005000050000599999940000000095000000000950000001EURPCE0320130301                  71                
ARN2761-2          8018138113105Guida a C 20x10 mm forata Ac-EZ            00040000400004099999940000000033000000000330000001EURLM 0320130301                  83                
ARN289.6           8018138119435Scatola 3-4 mod.x 7089-10089 BIANCA        00004000040000499999940000000089000000000890000001EURPCE0320130301                  11                
ARN3005.8          8018138127669Supporto CLIK x tondino d8 mm RAME         00015000150001599999940000000025000000000250000001EURPCE0320130301                  71                
ARN303.1           8018138113167Morsetto 1 foro x tondino Ac-GC            00050000500005099999940000000013900000000139000001EURPCE0320130301                  73                
ARN303.2           8018138113174Morsetto 2 fori x 2 tondini Ac-GC          00020000200002099999940000000029900000000299000001EURPCE0320130301                  73                
ARN303GDO.1        8018138177916Morsetto 1 foro x tondino Ac-GC            00040000400004099999940000000020600000000206000001EURPCE0320130301                  73                
ARN3115.18         8018138132496Dispersore filettato d18 RAMATO            00140000700007099999940000000185400000001854000001EURPCE0320130301                  73                
ARN3115.18GDO      8018138180886Dispersore filettato d18 RAMATO            00040000400004099999940000000210000000002100000001EURPCE0320130301                  73                
ARN312.10          8018138127683Dispersore croce 50x50x3 1,0m Ac-GC        001000010000100999999B0000000133000000001330000001EURPCE0620130301                  73                
ARN312.15          8018138127690Dispersore croce 50x50x3 1,5m Ac-GC        001000010000100999999B0000000195000000001950000001EURPCE0620130301                  73                
ARN313.10          8018138113303Dispersore croce 50x50x5 AC-GC 1m          00100001000010099999940000000146500000001465000001EURPCE0320130301                  73                
ARN313.15          8018138113310Dispersore croce 50x50x5 Ac-GC 1,5m        00100001000010099999940000000213000000002130000001EURPCE0320130301                  73                
ARN313.20          8018138113327Dispersore croce 50x50x5 Ac-GC 2m          00050000500005099999940000000289500000002895000001EURPCE0320130301                  73                
ARN313.25          8018138113334Dispersore croce 50x50x5 Ac-GC 2,5m        00025000250002599999940000000407000000004070000001EURPCE0320130301                  73                
ARN313SC           8018138128307Sali diminuzione resistività Kg 3,5        00001000010000199999940000000250000000002500000001EURPCE0320130301                  73                
ARN315.20          8018138113389Dispersore tondo d20 1,5 m Ac-GC           00100001000010099999940000000185400000001854000001EURPCE0320130301                  73                
ARN316.25          8018138113419Dispersore innesto Ø25 L1,5m Ac-GC         00025000250002599999940000000432600000004326000001EURPCE0320130301                  73                
ARN317.30.3        8018138113471Bandella 30x3 mm Ac-GC                     00250002500025099999940000000051500000000515000001EURKGM0320130301                  74                
ARN317.30.35       8018138113488Bandella 30x3,5 mm Ac-GC                   00250002500025099999940000000051500000000515000001EURKGM0320130301                  74                
ARN317.30.35M      8018138138016Bandella 30x3,5 mm Ac-GC                   00300003000030099999940000000043800000000438000001EURLM 0320130301                  74                
ARN317.30.3M       8018138138009Bandella 30x3 mm Ac-GC                     00350003500035099999940000000037600000000376000001EURLM 0320130301                  74                
ARN318.10          8018138113501Tondino d 10 mm Ac-GC                      00233002330023399999940000000051500000000515000001EURKGM0320130301                  74                
ARN318.10M         8018138138030Tondino d 10 mm Ac-GC                      00370003700037099999940000000033500000000335000001EURLM 0320130301                  74                
ARN318.8           8018138113518Tondino d 8 mm Ac-GC                       00200002000020099999940000000051500000000515000001EURKGM0320130301                  74                
ARN318.8M          8018138138023Tondino d 8 mm Ac-GC                       00500005000050099999940000000022200000000222000001EURLM 0320130301                  74                
ARN327.8           8018138131505Morsetto x tondino in RAME                 00010000100001099999940000000250000000002500000001EURPCE0320130301                  71                
ARN327F2           8018138113600Dispersore piastra 500x500x3 Ac-GC         00001000010000199999940000000650000000006500000001EURPCE0320130301                  73                
ARN32A             8018138132168Morsetto sezionamento Ac-GC                00010000100001099999940000000019500000000195000001EURPCE0320130301                  71                
ARN3303.1          8018138119787Morsetto 1 foro x tondino RAME             00010000100001099999940000000018000000000180000001EURPCE0320130301                  73                
ARN3315.18         8018138122626Dispersore tondo d18 RAMATO 100micr        00140000700007099999940000000175100000001751000001EURPCE0320130301                  73                
ARN3318.8          8018138113631Tondino d 8 mm RAME                        00100001000010099999940000000350000000003500000001EURKGM0320130301                  74                
ARN25250V          8018138123166Pozzetto con coperchio 25x25 VERDE         00012000120001299999940000000222000000002220000001EURPCE0320130301                  75                
ARN2525G           8018138122541Pozzetto portapalo 25x25 GRIGIO            00012000120001299999940000000245000000002450000001EURPCE0320130301                  75                
ARN2525R           8018138122565Pozzetto portapalo 25x25 MATTONE           00012000120001299999940000000255000000002550000001EURPCE0320130301                  75                
ARN2525V           8018138122558Pozzetto portapalo 25x25 VERDE             00012000120001299999940000000245000000002450000001EURPCE0320130301                  75                
ARN2532M12A        8018138139433Pressacavo IP68 M12 OTTONE-NICHEL          000500005000050999999B0000000031000000000310000001EURPCE0620130301                  81                
ARN2532M16A        8018138139440Pressacavo IP68 M16 OTTONE-NICHEL          000500005000050999999B0000000035000000000350000001EURPCE0620130301                  81                
ARN2532M20A        8018138139457Pressacavo IP68 M20 OTTONE-NICHEL          000500005000050999999B0000000043500000000435000001EURPCE0620130301                  81                
ARN2532M25A        8018138139464Pressacavo IP68 M25 OTTONE-NICHEL          000250002500025999999B0000000054500000000545000001EURPCE0620130301                  81                
ARN2532M32A        8018138137613Pressacavo IP68 M32 OTTONE-NICHEL          000250002500025999999B0000000078000000000780000001EURPCE0620130301                  81                
ARN2532M40A        8018138137620Pressacavo IP68 M40 OTTONE-NICHEL          000100001000010999999B0000000117000000001170000001EURPCE0620130301                  81                
ARN2532M50A        8018138137637Pressacavo IP68 M50 OTTONE-NICHEL          000050000500005999999B0000000210000000002100000001EURPCE0620130301                  81                
ARN3420M2503       8018138166644Controdado esagon.M25 GRIGIO               00150001500015099999940000000002400000000024000001EURPCE0320130301                  81                
ARN3420M32         8018138139198Controdado esagon.M32 GRIGIO               00075000750007599999940000000004300000000043000001EURPCE0320130301                  81                
ARN3420M3203       8018138166576Controdado esagon.M32 GRIGIO               00075000750007599999940000000004300000000043000001EURPCE0320130301                  81                
ARN3420M40         8018138139204Controdado esagon.M40 GRIGIO               00030000300003099999940000000006700000000067000001EURPCE0320130301                  81                
ARN3420M4003       8018138166606Controdado esagon.M40 GRIGIO               00030000300003099999940000000006700000000067000001EURPCE0320130301                  81                
